iter	Passed	Remaining
0	2	229
1	4	234
2	7	232
3	9	216
4	11	221
5	13	216
6	15	200
7	16	189
8	17	178
9	18	170
10	19	161
11	20	153
12	22	147
13	22	141
14	23	134
15	24	128
16	25	122
17	25	118
18	26	113
19	27	109
20	28	105
21	28	102
22	29	99
23	30	95
24	30	92
25	31	89
26	32	87
27	33	84
28	33	82
29	34	80
30	35	78
31	35	76
32	36	73
33	38	73
34	39	72
35	40	71
36	41	70
37	42	69
38	43	67
39	44	66
40	44	64
41	45	62
42	46	61
43	47	60
44	48	58
45	49	57
46	50	56
47	51	55
48	52	54
49	53	53
50	54	51
51	54	50
52	55	49
53	56	48
54	56	46
55	57	45
56	58	44
57	59	42
58	59	41
59	60	40
60	61	39
61	62	38
62	62	36
63	63	35
64	64	34
65	65	33
66	66	32
67	66	31
68	67	30
69	68	29
70	69	28
71	70	27
72	70	26
73	71	25
74	72	24
75	73	23
76	74	22
77	74	21
78	75	20
79	76	19
80	76	18
81	77	17
82	78	16
83	78	15
84	79	14
85	80	13
86	81	12
87	81	11
88	82	10
89	83	9
90	83	8
91	84	7
92	85	6
93	85	5
94	86	4
95	87	3
96	87	2
97	88	1
98	89	0
99	90	0
